Name,Neighborhood,Munc
أخرى,NA,NA
ابن سيناء,ابن سيناء,الخبر
احد,أحد,غرب الدمام
ارشادى بالخبر,الخبرالشمالية,الخبر
اشبيليا,اشبيليا,الخبر
الأمل,الأمل,غرب الدمام
الأمواج,الامواج,الخبر
الأندلس,الأندلس,الخبر
الأنوار,الأنوار,غرب الدمام
الاتصالات,الأتصالات,شرق الدمام
الاثير,الأثير,وسط الدمام
الارشادى بالخبر الشم…,الخبرالشمالية,الخبر
الامانة,الأمانة,غرب الدمام
الامراء,NA,NA
الامواج,الامواج,الخبر
الانوار,الأنوار,غرب الدمام
البادية,البادية,وسط الدمام
البحيرة,البحيرة,وسط الدمام
البحيره,البحيرة,وسط الدمام
البديع,البديع,وسط الدمام
البستان,البستان,الخبر
البندرية,البندرية,الخبر
التحلية,التحلية,الخبر
الترجى,NA,NA
الترجى بالظهران,NA,NA
التركيه,NA,NA
التعاون,التعاون,الخبر
الثقبة,الثقبة,الخبر
الثنيانيه,NA,NA
الجامعة,الجامعة,الظهران
الجامعة بالظهران,الجامعة,الظهران
الجامعيين,الجامعيين,شرق الدمام
الجسر,الجسر,الخبر
الجلوية,الجلوية,وسط الدمام
الجوهرة,الجوهرة,وسط الدمام
الحرس الوطنى,الحرس الوطني,الظهران
الحزام الأخضر,الحزام الأخضر,الخبر
الحزام الاخضر,الحزام الأخضر,الخبر
الحزام الذهبى,الحزام الذهبي,الخبر
الحسام,الحسام,شرق الدمام
الحمراء,الحمراء,الخبر
الخاطر,NA,NA
الخالدية,الخالدية الجنوبية,شرق الدمام
الخالدية الجنوبية,الخالدية الجنوبية,شرق الدمام
الخالدية الشمالية,الخالدية الشمالية,شرق الدمام
الخبر,الخبر الجنوبية,الخبر
الخبر الجنوبية,الخبر الجنوبية,الخبر
الخبر الشمالية,الخبرالشمالية,الخبر
الخبر الغربية,NA,NA
الخزامى,الخزامى,الخبر
الخضرية,الخضرية,وسط الدمام
الخليج,الخليج,وسط الدمام
الدانة,الدانة,وسط الدمام
الدانة الشمالية,الدانة الشمالية,الظهران
الدمام,NA,NA
الدواسر,الدواسر,وسط الدمام
الدوحة,NA,NA
الدوحة الجنوبية,الدوحة الجنوبية,الظهران
الدوحة الشرقية,NA,NA
الدوحة الشمالية,الدوحة الشمالية,الظهران
الرابية,الرابية,وسط الدمام
الرابيه,الرابية,وسط الدمام
الراكة,الراكة الشمالية,شرق الدمام
الراكة الجنوبية,الراكة الجنوبية,الخبر
الراكة الشمالية,الراكة الشمالية,شرق الدمام
الراكه,الراكة الشمالية,شرق الدمام
الربوة,NA,NA
الربيع,الربيع,وسط الدمام
الرجاء,الرجاء,الخبر
الروابى,الروابي,الخبر
الروابي,الروابي,الخبر
الروضة,الروضة,شرق الدمام
الريان,الريان,شرق الدمام
الزهور,الزهور,وسط الدمام
السفن,السفن,الخبر
السلام,السلام,وسط الدمام
السلطان,NA,NA
السوق,السوق,وسط الدمام
السيف,السيف,شرق الدمام
الشاطى,NA,NA
الشراع,الشراع,الخبر
الشروق,الشروق,غرب الدمام
الشعلة,الشعلة,غرب الدمام
الشعله,الشعلة,غرب الدمام
الشفاء,NA,NA
الصدفة,الصدفة,شرق الدمام
الصفا,الصفا,شرق الدمام
الصفا تجارى,الصفا,شرق الدمام
الصناعية,الصناعية,غرب الدمام
الصوارى,الصواري,الخبر
الضباب,الضباب,غرب الدمام
الطبيشى,الطبيشي,شرق الدمام
الظهران,NA,NA
العدامة,العدامة,وسط الدمام
العدامه,العدامة,وسط الدمام
العزيزية,العزيزية,وسط الدمام
العزيزيه,العزيزية,وسط الدمام
العقربية,العقربية,الخبر
العقيق,العقيق,الخبر
العليا,العليا,الخبر
العمامرة,العمامرة,وسط الدمام
العنود,العنود,وسط الدمام
الفردوس,الفردوس,شرق الدمام
الفردوس سيهات,الفردوس,شرق الدمام
الفرسان,الفرسان,غرب الدمام
الفيحاء,الفيحاء,غرب الدمام
الفيصلية,الفيصلية,غرب الدمام
القادسية,القادسية,وسط الدمام
القزاز,القزاز,وسط الدمام
القشلة,القشلة,الظهران
القصور,القصور,الظهران
القصور بالظهران,القصور,الظهران
القيروان,NA,NA
الكوثر,الكوثر,الخبر
الكورنيش,الكورنيش,الخبر
اللؤلؤ,اللؤلؤ,الخبر
المحمدية,المحمدية,وسط الدمام
المحمدية 1 تجارى,المحمدية,وسط الدمام
المحمدية 4,المحمدية,وسط الدمام
المحمدية مستودعات,المحمدية,وسط الدمام
المحمديه 1مستودعات,المحمدية,وسط الدمام
المحمديه 2 تجارى,المحمدية,وسط الدمام
المرجان,المرجان,الخبر
المريكبات,المريكبات,شرق الدمام
المزروعية,المزروعية,شرق الدمام
المطلق,NA,NA
المنار,المنار,غرب الدمام
المنتزة,المنتزة,شرق الدمام
المنتزه,المنتزة,شرق الدمام
المنيرة,NA,NA
الميناء,NA,NA
الناصرية,الناصرية,شرق الدمام
النخيل,NA,NA
النخيل الشمالى,NA,NA
الندى,الندى,غرب الدمام
النزهة,النزهة,شرق الدمام
النهضة,النهضة,شرق الدمام
النهضة سيهات,النهضة,شرق الدمام
النهضه,النهضة,شرق الدمام
النور,الأنوار,غرب الدمام
النورس,النورس,شرق الدمام
الهدا,الهدا,الخبر
الواحة,الواحة,شرق الدمام
الواحه,الواحة,شرق الدمام
اليرموك,اليرموك,الخبر
بدر,بدر,غرب الدمام
بدون,NA,NA
بدون الارشادى بالثقبة,الثقبة,الخبر
بدون الارشادى بالخبر…,NA,NA
بدون الارشادى بالعقر…,NA,NA
بدون الارشادى بالمنط…,NA,NA
بن خلدون,NA,NA
تهامة,تهامة,شرق الدمام
تهامة بالخبر,تهامة,شرق الدمام
جنوب الثقبة,الثقبة,الخبر
جنوب خط الانابيب,NA,NA
جنوب طريق الرياض الد…,NA,NA
جنوب عين السيح,NA,NA
جنوب غرب الانابيب,NA,NA
جنوب غرب العزيزية,العزيزية,وسط الدمام
حى القزاز,القزاز,وسط الدمام
حي الكورنيش,الكورنيش,الخبر
دانة سيهات,NA,NA
ش د 1015,NA,NA
ش د 1088,NA,NA
ش د 1117,NA,NA
ش د 1153,NA,NA
ش د 1240,NA,NA
ش د 1285,NA,NA
ش د 1305,NA,NA
ش د 1307,NA,NA
ش د 1330,NA,NA
ش د 823,NA,NA
ش.د 1015,NA,NA
ش.د 1080,NA,NA
شاطئ التحلية والغروب,NA,NA
شاطئ التحليه والغروب,NA,NA
شاطئ قرية الخليج,NA,NA
شاطئ نصف القمر,NA,NA
شرق الدمام,NA,NA
شرق الراكة,NA,NA
شمال,NA,NA
شمال الخبر,الخبر الجنوبية,الخبر
شمال الظهران,غرب الظهران,الظهران
صناعية الثقبة,صناعية الثقبة,الخبر
صناعية الفوازية,صناعية الفوازية,الخبر
صناعية الموسى,NA,NA
صناعية بغلف,NA,NA
صناعية نتاج,NA,NA
ضاحية الملك فهد,ضاحية الملك فهد,غرب الدمام
طيبة,طيبة,غرب الدمام
عبدالله فؤاد,عبدالله فؤاد,شرق الدمام
عين السيح,NA,NA
عين السيح بالعزيزية,العزيزية,وسط الدمام
غرب الدمام,غرب الظهران,الظهران
غرب الفيصلية,غرب الظهران,الظهران
غرناطة,غرناطة,وسط الدمام
قرطبة,قرطبة,الخبر
محمد بن سعود,الأمير محمد بن سعود,وسط الدمام
مدينة العمال,مدينة العمال,شرق الدمام
ميناء الملك عبدالعزيز,ميناء الملك عبد العزيز,شرق الدمام
هجر,هجر,شرق الدمام
هجر تجارى,هجر,شرق الدمام
